"filename", "language", "C#", "Properties", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\Cards.cs", "C#", 228, 0, 0, 0, 24, 87, 339
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\ConsoleApp1.csproj", "XML", 0, 0, 8, 0, 0, 3, 11
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\PlayersStats.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\Program.cs", "C#", 1701, 0, 0, 0, 182, 239, 2122
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\bin\Debug\net8.0\ConsoleApp1.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 23
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\bin\Debug\net8.0\ConsoleApp1.runtimeconfig.json", "JSON", 0, 0, 0, 12, 0, 0, 12
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 61, 0, 0, 61
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\Debug\net8.0\ConsoleApp1.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\Giora\OneDrive\MyLife\Giora\תכנות וכו\Poker Python Calculator\CS Poker Calc\ConsoleApp1\obj\project.assets.json", "JSON", 0, 0, 0, 66, 0, 0, 66
"Total", "-", 1958, 13, 25, 162, 217, 338, 2713